"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b0001",100.795477076387,0.80218002467684,0.263774796183186,3.0411549408221,0.00235672521187368,0.00886286174400141
"b0002",4289.40718455194,0.900317839425134,0.281343073178669,3.20007110625887,0.00137393686721683,0.00611203236380193
"b0003",2563.66291995594,0.712861300529396,0.314603039578308,2.26590722545119,0.0234570641379859,0.0456401024282219
"b0004",2772.83046918508,0.953397053181937,0.295272299981755,3.22887400288089,0.00124278636229716,0.00568151957420505
"b0005",376.2161662178,0.427331266524588,0.303012878537526,1.41027427146687,0.158458712507207,0.217906287554266
"b0006",458.398997532363,0.113932070972694,0.196068125639214,0.581084103299588,0.561183771955675,0.638294135498144
"b0007",528.790468526106,-0.673386271816577,0.284972450770689,-2.3629872641915,0.0181282925800167,0.0373879590075526
"b0008",2802.70638507882,0.786032564110383,0.341181133717734,2.30385706133647,0.0212306687416369,0.0421705073965307
"b0009",398.859135697996,0.22970357373459,0.248445566697435,0.924562980889614,0.355193276655713,0.433492395758175
"b0010",297.68787771158,-0.114523745103685,0.254167153387102,-0.450584363783873,0.652289138195919,0.719272787410555
"b0011",56.4674503304158,-0.831079097506863,0.334635986380291,-2.48353175190907,0.0130086736559317,0.0291107484489432
"b0012",0,NA,NA,NA,NA,NA
"b0013",113.168052597725,-0.810504037431028,0.283358486199353,-2.86034855811874,0.0042317561359584,0.0129784002932307
"b0014",3595.88693553114,-0.176253589961648,0.351918970138148,-0.500835717643919,0.616486746037983,0.688700995377338
"b0015",1532.28402686725,0.0654214588221368,0.267585630949301,0.244487936777637,0.806852943606856,0.849707040167003
"b0016",0.171180821900911,1.75632216357639,4.0804728567969,0.430421234306425,0.666889251656716,0.730742003556398
"b0018",0,NA,NA,NA,NA,NA
"b4412",0,NA,NA,NA,NA,NA
"b4413",6.03383822271524,-1.32654207365249,0.802071448858058,-1.65389514305881,0.0981488196774117,0.145888569834312
"b0019",1360.35834269586,0.107636533636099,0.213416883044984,0.504348728649604,0.614016340561299,0.686841159751461
"b0020",361.062358769583,-0.570014173514814,0.214190074318721,-2.66125391350589,0.00778502248666221,0.0201005109370092
"b0021",10.4754162280291,0.117245968598416,0.573569135703949,0.204414710102067,0.838029435876467,0.874331738899016
"b0022",6.19285066804378,0.216244243582078,0.705511279557397,0.306507138649491,0.759218545373327,0.810691662890102
"b0023",1967.69572928831,1.35891572354685,0.271338156019069,5.00819989154547,5.49414591678926e-07,1.25248898627126e-05
"b0024",155.961469843345,0.367736114775651,0.314287577408735,1.17006251983484,0.241975810087304,0.312399418050327
"b0025",2150.52659385882,1.19398231186496,0.215697027782153,5.53546019684076,3.10412225017404e-08,1.1815065314725e-06
"b0026",5914.52191561976,1.26333270026827,0.251817385469087,5.01686052341034,5.25226685934427e-07,1.20378567856907e-05
"b0027",685.139804038373,0.839092337525658,0.241088266123288,3.4804362361483,0.000500597966706542,0.00293946161442147
"b0028",285.567188125432,0.568761945128343,0.207993244039017,2.7345212473423,0.00624710634198189,0.0170533356611693
"b0029",1107.23414474798,0.764960760576014,0.224851598432758,3.40206948008323,0.000668776329676565,0.00364260133215647
"b0030",76.7128348980685,-0.921095448567945,0.317220530235336,-2.9036438716139,0.0036884745689079,0.011921127435371
"b0031",12632.9167720548,1.87938810306993,0.272268664975064,6.90269702259735,5.10243807621642e-12,6.04213708858628e-10
"b0032",3002.78033283585,1.19291266756591,0.300801003433186,3.96578686224655,7.31542113940404e-05,0.000683633084729516
"b0033",7854.0968336511,1.33612649905549,0.309758415317205,4.31344697346557,1.60728703721369e-05,0.00019438384563531
"b0034",244.785343829339,-0.299280305544926,0.233102628573453,-1.28389931669355,0.199177186382367,0.265010095364554
"b0035",164.947319685646,-0.948153833264632,0.338922919333491,-2.79755005984613,0.00514917872039732,0.0150143289227454
"b0036",214.91926443946,-1.11860935865098,0.317169475829401,-3.52685060794646,0.000420533971306575,0.0025720750641032
"b0037",491.200842274816,-0.978862766249593,0.314833947352055,-3.10913983222719,0.00187632893664849,0.00759235402377191
"b0038",399.64395591076,-0.926225356017167,0.299786226679263,-3.08961944742085,0.00200413101152942,0.00790343247192409
"b0039",381.859738346126,-0.454879639899421,0.289300598803003,-1.57234254537153,0.115871131113704,0.16807030688592
"b0040",490.801630180781,-0.992117064522759,0.386244064689672,-2.56862734012463,0.0102102191338244,0.0243434922636987
"b0041",205.599288927548,-1.08694037349373,0.327255825423609,-3.32137822783374,0.0008957406008627,0.00446367711977465
"b0042",218.104485957619,-1.12240563607769,0.361017206266794,-3.10900870261631,0.00187716189093493,0.00759235402377191
"b0043",344.830686297158,-0.988826436552624,0.367038722901692,-2.6940657071147,0.00705862479440458,0.0186552495341269
"b0044",70.4312472072706,-1.32728134907487,0.369866256049977,-3.58854404089116,0.000332529826038215,0.00220462620280079
"b0045",450.901102526363,-0.913583806315496,0.341500405289052,-2.67520562835708,0.00746834276208868,0.0194844217838336
"b0046",169.096905313932,-0.438636548962352,0.26772605219954,-1.63837828018108,0.101342807136047,0.149852371425934
"b0047",859.916568927618,-0.4349100641397,0.214639657959075,-2.02623349419717,0.0427408628159959,0.0729692824127315
"b0048",620.824052361913,0.283717556021897,0.266353289689915,1.06519261073215,0.286788776788081,0.361069272134551
"b0049",708.776146313261,0.497558861298364,0.252271084012279,1.97231824347394,0.0485732882968482,0.0811014048052592
"b0050",433.399670268108,0.48758846064901,0.299661502217016,1.62713080272786,0.103709320243474,0.152980218753609
"b0051",719.550986656998,0.376414156223585,0.268588754580681,1.40145166096488,0.161079053019485,0.220835356035185
"b0052",503.058891631664,0.221089765667889,0.231767825622958,0.953927772647618,0.340120204178165,0.417126706102278
"b0053",3310.90329629025,0.702700105047028,0.307448047671685,2.28558974554758,0.0222782706421325,0.0438468456820918
"b0054",4512.02375722947,0.592462490221916,0.271816677635158,2.17963995210456,0.0292841608739059,0.054089418459905
"b0055",905.526273890033,0.318940496440117,0.23036917530255,1.38447557500366,0.166212881963541,0.226668431161413
"b0056",0,NA,NA,NA,NA,NA
"b0057",0,NA,NA,NA,NA,NA
"b0058",817.537406472352,0.961377517889524,0.232437417411474,4.13607038228117,3.53303868496321e-05,0.000374660296368113
"b0059",1746.7026275483,0.417321990935784,0.235004180783151,1.77580666669444,0.075764788512092,0.117278610539959
"b0060",831.225515377572,-0.404737521602761,0.213094157150977,-1.89933655156957,0.0575202399425671,0.0929525333112826
"b0061",216.746346475392,-0.702879682701282,0.321719021886986,-2.18476258748602,0.0289062585052468,0.0534841059061923
"b0062",402.644053870657,-0.854573288033846,0.287354577840823,-2.97393309149655,0.00294009176542958,0.0101816500373894
"b0063",469.846039473414,-0.90800407879661,0.35587335816576,-2.55148090735603,0.0107266201110019,0.0253250247781805
"b0064",356.403821790753,-0.49018104936545,0.236595323241016,-2.07181208254954,0.0382829694495329,0.0670502459997365
"b0065",766.317664115284,-0.340591554268564,0.316471328762009,-1.07621614760778,0.281830599664981,0.355877916579329
"b0066",143.422411044671,-0.189849694553143,0.266601472699627,-0.712110449468677,0.476396384049443,0.559624630808149
"b0067",396.737166858764,0.278679905966568,0.245162027107422,1.13671725289031,0.255656504537012,0.326991802832668
"b0068",244.032246630747,-0.31041543896611,0.244436078254996,-1.26992480480841,0.204111416533218,0.270814493831655
"b4762",6.66549474555482,-1.77639696960978,0.783804122409319,-2.26637870205294,0.0234282064570262,0.0456047690074442
"b0069",495.824592546255,-0.510413162364595,0.232272675295542,-2.1974739892032,0.027986612146836,0.0520990950139571
"b4577",1.10635535165792,0.477431929612524,1.61550311341547,0.295531420303576,0.767587953674537,0.817992042746476
"b4662",0,NA,NA,NA,NA,NA
"b0070",1010.00013175429,-0.288045662169127,0.184964186184998,-1.55730505515824,0.119398075784985,0.172190120795464
"b0071",1036.87743154769,1.05987862421858,0.300567605499485,3.52625700450077,0.000421477743405833,0.00257320685213298
"b0072",2666.51235727627,1.22805607912346,0.259183707865629,4.73816849537521,2.15658465719135e-06,3.89555948881641e-05
"b0073",1364.2810597935,1.00503112844391,0.293969747030658,3.41882502738996,0.000628921546256051,0.00348646625707353
"b0074",2129.39681603444,0.880437641995237,0.250068089052981,3.52079165850187,0.000430260529740953,0.00261282142205938
"b0075",41.3176626860959,-0.0752673385689298,0.338173962276847,-0.222569881081832,0.823870279874671,0.864637863886195
"b0076",300.681412230895,-0.921376555543411,0.251247678029886,-3.66720426142133,0.000245216906595742,0.00177542313796639
"b4726",59.8651069649187,-1.07372407223753,0.403493911959045,-2.66106635171862,0.00778936056015463,0.0201005109370092
"b0077",5046.20476610944,1.16425333287273,0.279088477042717,4.17162809876428,3.02430958618787e-05,0.000330580301690228
"b0078",1821.75102289932,0.918190420580233,0.254230090022983,3.61165124276685,0.000304253559205081,0.00207212285714247
"b0080",1279.81832537259,0.803755290773986,0.228188836726057,3.52232520357208,0.000427779037109828,0.00260145796747389
"b0081",3013.15790882849,0.534179722354467,0.285022813051196,1.87416479627025,0.0609077146403525,0.0976126268841438
"b0082",1640.02180235721,0.71984485700836,0.266146777458433,2.70469123797972,0.00683679040535521,0.0182271654146525
"b0083",559.47063167564,0.368753326563165,0.292565694438274,1.26041204957803,0.207520757103343,0.274568897433752
"b0084",1229.29444622448,-0.0368550371885439,0.224767643101207,-0.163969496142952,0.869755157313696,0.899506607381923
"b4810",0,NA,NA,NA,NA,NA
"b0085",3968.56925222096,0.844131337323911,0.251306723502101,3.35896837760831,0.000782340192347222,0.00407218100119195
"b0086",1634.51721275263,0.824249833624996,0.23196188720095,3.55338475458661,0.000380307789900775,0.00239830193542456
"b0087",2134.38246952529,0.970014146495415,0.270013522076806,3.59246507002524,0.000327564573219627,0.00217508999320136
"b0088",3396.34193437566,0.739153357898732,0.277371160593309,2.66485295846061,0.00770219922725585,0.0199359291474145
"b0089",2390.04739071507,0.785042692515403,0.250330656409317,3.13602298566171,0.00171255780736219,0.00715047397922138
"b0090",2338.1421102572,0.761374662852565,0.255389522703118,2.98122904492694,0.00287093978249027,0.0100233214028427
"b0091",3621.00466833264,0.838188286725663,0.266337362435816,3.1470923908682,0.00164902846593546,0.00696710441058756
"b0092",4254.93766153027,0.330133702301057,0.34029681871487,0.970134553557703,0.331979427569249,0.408199682644276
"b0093",2840.97808587029,0.335929354780296,0.297828672407831,1.12792818792239,0.259350248306658,0.331318582119054
"b0094",3893.73362956863,0.784034447690108,0.294803696152044,2.65951362864102,0.00782535639865914,0.0201466059186067
"b4840",18.8348464384883,0.791279950522114,0.461337545147616,1.71518654582715,0.0863110307772528,0.131034161041107
"b0095",6028.4882421462,1.17337861378073,0.318996870137519,3.67833895446963,0.000234757847153839,0.00171659125628957
"b0096",5142.85693594566,1.07119199293867,0.330661372362639,3.23954378246482,0.0011972108470222,0.00554751069658221
"b0097",553.745214549255,0.457586482235129,0.233273319866146,1.96158944579558,0.04981030202518,0.0826874289460055
"b0098",7378.06454488529,1.09922789539666,0.29643193163636,3.70819664848086,0.000208740528496635,0.00155298581672104
"b0099",253.688921385155,0.0765633899978282,0.229934320525826,0.332979390909278,0.739149839986308,0.794346214761632
"b0101",149.603877837155,0.679026171618825,0.259593105052725,2.61573269244154,0.00890362307556809,0.0220835896518226
"b0102",413.045774978777,0.448235890262335,0.264586566060665,1.69409920139166,0.0902464340679086,0.136213647298644
"b0103",243.313395391129,-0.131010645880399,0.216049010974533,-0.606393175740306,0.544253698980514,0.622525763014202
"b4727",20.6184132536466,-1.32194574645204,0.538674748028027,-2.45407038531395,0.0141249331228681,0.0309586580477053
"b0104",1769.68636466561,0.795477679805851,0.287782856838467,2.76415936843783,0.00570696583358227,0.0160665934280736
"b0106",301.586359548047,-0.88853123452768,0.255579475217147,-3.47653595333803,0.000507936120411719,0.00295810338977481
"b0107",345.477103215574,-0.774249158109759,0.298442852892219,-2.59429619642918,0.00947847901494295,0.0231391312425438
"b0108",101.589815256902,-1.30137460906082,0.355020128655123,-3.6656361260153,0.000246724529171369,0.00178268926755516
"b0109",578.353100746291,0.0512539826486999,0.200959672353927,0.255046109741023,0.798687486097402,0.843399740706768
"b0110",284.346313171926,-0.0898705260065165,0.207212643908349,-0.43371159361427,0.664497886595172,0.729747708721388
