"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"eco03010","Genetic Information Processing","Translation","eco03010","Ribosome - Escherichia coli K-12 MG1655","61/384","78/1780",0.782051282051282,3.62513354700855,12.4316794253563,8.20014775456635e-28,6.97012559138139e-26,5.52431006623417e-26,"b3970/b3758/b3854/b3968/b3303/b4007/b3313/b3315/b2185/b3851/b3759/b4203/b2609/b4200/b3703/b3304/b4009/b3230/b3309/b3305/b3302/b3065/b3185/b0169/b3301/b0911/b1717/b3297/b3186/b3984/b3319/b0023/b3985/b3310/b1716/b3308/b3314/b3637/b3317/b3296/b3320/b3316/b3231/b3342/b3321/b3636/b3318/b3294/b3983/b3298/b3986/b3341/b3312/b4202/b3165/b3307/b3306/b1089/b3299/b3936/b2606",61
"eco01230","Metabolism","Global and overview maps","eco01230","Biosynthesis of amino acids - Escherichia coli K-12 MG1655","58/384","117/1780",0.495726495726496,2.29789886039886,7.61550196381823,3.37465744778836e-12,1.43422941531006e-10,1.13672671925503e-10,"b2942/b3829/b3940/b3744/b0031/b2421/b4024/b3212/b0166/b3433/b2600/b3939/b4013/b3213/b2601/b1136/b3774/b0118/b3870/b2472/b0388/b3390/b3389/b2024/b2551/b0242/b3771/b0072/b0674/b3770/b2913/b2935/b0243/b0077/b2779/b0755/b2926/b1779/b0908/b1676/b3172/b4395/b0907/b2478/b1263/b3359/b3919/b2414/b0928/b0071/b3916/b1207/b3960/b0720/b0754/b2925/b4254/b2025",58
"eco00190","Metabolism","Energy metabolism","eco00190","Oxidative phosphorylation - Escherichia coli K-12 MG1655","29/384","43/1780",0.674418604651163,3.12621124031008,7.40033884200956,7.54154122403426e-11,2.13677001347637e-09,1.69353908188839e-09,"b3735/b0721/b2280/b2279/b3732/b0724/b0431/b0432/b3737/b0723/b3734/b2283/b0428/b3733/b2281/b2286/b2284/b2288/b2287/b2278/b2277/b2276/b3736/b3738/b2285/b0429/b2282/b0430/b0722",29
"eco02040","Cellular Processes","Cell motility","eco02040","Flagellar assembly - Escherichia coli K-12 MG1655","25/384","44/1780",0.568181818181818,2.63375946969697,5.75374317547999,2.59232615343374e-07,5.50869307604669e-06,4.36602299525682e-06,"b1892/b1878/b1890/b1940/b1937/b1889/b1946/b1078/b1075/b1939/b1080/b1925/b1077/b1082/b1076/b1923/b1083/b1942/b1920/b1891/b1926/b1924/b1073/b1922/b1071",25
"eco00970","Genetic Information Processing","Translation","eco00970","Aminoacyl-tRNA biosynthesis - Escherichia coli K-12 MG1655","45/384","111/1780",0.405405405405405,1.87922297297297,5.01583481145053,2.30849491149142e-06,3.28669444529304e-05,2.6049342971982e-05,"b3977/b3979/b3797/b1230/b3978/b1911/b2694/b3969/b0668/b2692/b0743/b1231/b4163/b2590/b0744/b2402/b0930/b0026/b2815/b3560/b0748/b4164/b3796/b1714/b2697/b1866/b0747/b3559/b1713/b0670/b0642/b1637/b2403/b1719/b2890/b0194/b4258/b0893/b1910/b3288/b2695/b0680/b4008/b0672/b0665",45
"eco00020","Metabolism","Carbohydrate metabolism","eco00020","Citrate cycle (TCA cycle) - Escherichia coli K-12 MG1655","18/384","29/1780",0.620689655172414,2.87715517241379,5.34400649674663,2.32001960844215e-06,3.28669444529304e-05,2.6049342971982e-05,"b0721/b1675/b2210/b1136/b0118/b0724/b0116/b0723/b0727/b3403/b0729/b1612/b0728/b0115/b0726/b0720/b0114/b0722",18
"eco02030","Cellular Processes","Cell motility","eco02030","Bacterial chemotaxis - Escherichia coli K-12 MG1655","14/384","20/1780",0.7,3.24479166666667,5.2935324836687,4.12308452468084e-06,5.00660263711245e-05,3.96808134706126e-05,"b3544/b1890/b1889/b1946/b3751/b1939/b4355/b1888/b1885/b1886/b1421/b1884/b1881/b1887",14
"eco01210","Metabolism","Global and overview maps","eco01210","2-Oxocarboxylic acid metabolism - Escherichia coli K-12 MG1655","18/384","32/1780",0.5625,2.607421875,4.81110711655827,1.64182621772898e-05,0.000174444035633704,0.000138259049914019,"b4024/b3433/b1136/b3774/b0118/b0116/b3771/b0072/b0727/b3770/b0077/b0115/b0726/b3359/b0928/b0071/b0720/b0114",18
"eco01110","Metabolism","Global and overview maps","eco01110","Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655","107/384","358/1780",0.298882681564246,1.38544576350093,4.27824714137989,2.10352016494074e-05,0.000198665793355514,0.000157456480182699,"b2942/b3829/b3940/b2499/b3744/b4005/b0031/b4024/b3212/b0721/b3433/b2557/b4006/b2600/b0522/b0025/b3939/b1675/b4013/b3213/b0523/b2210/b2601/b2844/b1136/b3774/b0118/b0238/b0724/b3870/b0116/b0388/b2316/b3390/b3389/b2024/b2551/b3608/b2518/b0242/b0723/b3771/b0072/b0428/b0391/b0474/b0674/b0727/b1208/b1849/b3403/b0729/b2476/b2508/b3770/b1612/b0728/b2913/b2935/b0033/b0175/b2312/b0243/b0077/b0115/b2779/b0755/b0726/b2029/b0032/b2926/b2500/b1779/b0908/b1676/b3172/b2751/b2533/b1131/b1094/b4395/b0907/b0185/b2478/b1093/b1263/b3359/b3919/b2414/b1241/b0415/b0928/b0071/b3916/b1207/b3960/b1092/b0720/b0131/b0754/b2925/b0114/b4254/b2938/b2025/b0722/b2752",107
"eco01200","Metabolism","Global and overview maps","eco01200","Carbon metabolism - Escherichia coli K-12 MG1655","42/384","112/1780",0.375,1.73828125,4.23198095044777,5.11366567049059e-05,0.0004346615819917,0.000344499582011998,"b3941/b0721/b3956/b3894/b1851/b2210/b2844/b1136/b1850/b0118/b0724/b0116/b2316/b2551/b0723/b0727/b3403/b0729/b1612/b0728/b2913/b2935/b0115/b2779/b0755/b0726/b2029/b0529/b2926/b1779/b1676/b4395/b0907/b0185/b3919/b2414/b3916/b1207/b0720/b2925/b0114/b0722",42
"eco00720","Metabolism","Energy metabolism","eco00720","Other carbon fixation pathways - Escherichia coli K-12 MG1655","16/384","35/1780",0.457142857142857,2.11904761904762,3.50586954002921,0.00111603980114791,0.00862394391796108,0.00683507629411157,"b3941/b0721/b3956/b1675/b2844/b1136/b0118/b0724/b2316/b0723/b0729/b1612/b0728/b0529/b0185/b0722",16
"eco00250","Metabolism","Amino acid metabolism","eco00250","Alanine, aspartate and glutamate metabolism - Escherichia coli K-12 MG1655","15/384","33/1780",0.454545454545455,2.10700757575758,3.36567353257854,0.00171451740170413,0.0121444982620709,0.00962536085167229,"b1761/b3744/b3212/b4177/b3213/b3870/b0674/b0033/b2312/b1525/b0032/b3172/b1131/b0928/b3960",15
"eco00300",NA,NA,"eco00300","Lysine biosynthesis - Escherichia coli K-12 MG1655","8/384","13/1780",0.615384615384615,2.8525641025641,3.51509869076383,0.00201614985939671,0.01318251831144,0.0104480640486955,"b3940/b0031/b4024/b0166/b3433/b2472/b2478/b3359",8
